date,ko_price_usd,pep_price_usd,residual_usd,z_score,ko_shares,pep_shares,gross_pnl_usd,transaction_cost_usd,borrow_cost_usd,financing_cost_usd,net_pnl_usd,equity_usd
2024-01-11,55.98923873901367,153.4188232421875,0.09666243257383655,2.5301558268742776,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,91720.50620704368
2024-01-12,56.53218460083008,154.4716033935547,0.28744783659043094,2.6767696300770356,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,91720.50620704368
2024-01-16,56.15774154663086,153.45578002929688,0.2528030019304097,2.482809002887669,-1860.64683229568,622.3960809045286,-0.0,100.00000000000001,-0.0,0.0,-100.00000000000001,91620.50620704368
2024-01-17,56.15774154663086,153.70510864257812,0.1694012789004944,2.3019211344352506,-1860.64683229568,622.3960809045286,155.1811517636108,0.0,4.146417615778501,18.95045160364718,132.08428254418516,91752.59048958786
2024-01-18,56.31687545776367,154.37924194335938,0.10303408088633148,2.118102985774118,-1860.64683229568,622.3960809045286,123.48591675339395,0.0,4.146417615778501,18.981241514711392,100.35825762290406,91852.94874721077
2024-01-19,56.007957458496094,153.09559631347656,0.22350224746278968,2.1426873265350195,-1860.64683229568,622.3960809045286,-224.14871253294916,0.0,4.158167298622154,19.064491102888667,-247.37137093445997,91605.57737627631
2024-01-22,55.764564514160156,152.47683715820312,0.18708747146136773,2.0168218078229367,-1860.64683229568,622.3960809045286,67.75503761579665,0.0,4.135358278908808,18.90597205342254,44.7137072834653,91650.29108355977
2024-01-23,56.026676177978516,154.8132781982422,-0.33235259250873384,1.3858263698521027,-1860.64683229568,622.3960809045286,966.4945095934327,0.0,4.117387314191277,18.82956068967929,943.5475615895621,92593.83864514933
2024-01-24,55.146732330322266,152.9293670654297,-0.5821183292613554,1.0830957693618248,-1860.64683229568,622.3960809045286,464.72582690476315,0.0,4.136740379151252,19.11809079812866,441.4709957274832,93035.30964087682
2024-01-25,55.38076400756836,153.81591796875,-0.6446425583653834,0.9852933366911413,-1860.64683229568,622.3960809045286,116.33550882414283,0.0,4.0717695564234875,18.885444189828082,93.37829507789127,93128.6879359547
